Contig	SRR5004095_bt2-counts.txt	SRR5004096_bt2-counts.txt	SRR5004097_bt2-counts.txt	SRR5004091_bt2-counts.txt	SRR5004078_bt2-counts.txt	SRR5004080_bt2-counts.txt	SRR5004093_bt2-counts.txt	SRR5004090_bt2-counts.txt	SRR5004082_bt2-counts.txt	SRR5004083_bt2-counts.txt	SRR5004085_bt2-counts.txt
contig#27062	30	37	30	64	28	42	80	7	4	16	3
contig#27063	71	76	198	228	48	105	156	48	87	24	96
contig#27064	16	2	15	35	6	23	231	0	1	0	1
contig#27065	32	34	299	337	25	195	459	28	28	7	42
contig#27066	13	3	7	58	39	36	66	1	6	3	18
contig#27067	9	5	5	12	7	9	4	5	3	2	6
contig#27068	10	10	23	42	4	12	34	3	19	4	6
contig#27069	6	0	43	33	7	27	34	3	6	3	4
contig#2707	211	219	752	1129	186	943	1362	133	347	81	299
contig#27070	79	46	139	214	54	49	177	15	21	16	17
contig#27071	17	13	68	79	15	35	73	22	17	3	22
contig#27072	12	21	13	26	9	15	23	19	10	8	23
contig#27073	17577	13953	1635	5059	11340	6663	2371	13924	20236	18608	7259
contig#27074	60	172	63	97	74	71	57	63	58	102	57
contig#27075	14	3	47	21	4	81	331	27	76	0	4
contig#27076	6	3	2	10	4	3	2	4	2	3	2
contig#27077	15	4	38	48	21	60	42	3	12	4	21
contig#27078	24	29	122	35	8	26	23	8	5	2	8
contig#27079	3	1	7	20	1	2	7	0	2	0	1
contig#2708	3	4	16	31	3	13	20	10	8	2	12
contig#27080	3	6	4	10	5	3	5	2	3	2	8
contig#27081	3	1	6	10	2	5	6	1	0	1	0
contig#27082	1	2	4	4	1	8	8	3	0	0	5
contig#27083	2	6	3	4	3	8	2	3	5	0	3
contig#27084	6	16	30	47	5	18	16	13	8	6	39
contig#27085	2	1	32	45	5	17	50	7	8	0	6
contig#27086	1	5	14	21	1	19	20	6	7	3	10
contig#27087	96	21	160	274	73	54	448	6	16	8	16
contig#27089	36	36	69	95	37	66	131	34	53	4	63
contig#2709	18	2	4	128	237	125	401	1	5	10	65
contig#27090	7	4	33	25	2	14	22	1	6	0	3
contig#27091	11	22	44	48	9	45	54	5	9	1	8
contig#27092	61	102	115	213	53	79	150	31	83	36	83
contig#27094	1	0	12	8	0	7	23	0	2	1	0
contig#27096	3	12	16	28	10	21	11	6	17	4	12
contig#27097	54	39	193	275	58	106	348	25	47	11	39
contig#27098	3	12	181	72	6	41	62	9	4	10	42
contig#27099	27	43	52	66	18	28	87	16	19	17	40
contig#271	30	18	62	59	26	22	57	14	24	1	24
contig#2710	326	25	202	498	171	256	280	102	17	2	71
contig#27101	12	19	16	16	11	18	26	7	13	1	16
contig#27102	75	78	202	280	71	145	317	37	67	16	123
contig#27103	1	0	14	18	0	7	3	6	0	1	2
contig#27104	22	31	31	51	15	16	31	10	31	12	34
