Contig	SRR5004082_1_trimmed.fq.gz.sam_counts.txt	SRR5004093_1_trimmed.fq.gz.sam_counts.txt	SRR5004080_1_trimmed.fq.gz.sam_counts.txt	SRR5004085_1_trimmed.fq.gz.sam_counts.txt	SRR5004091_1_trimmed.fq.gz.sam_counts.txt	SRR5004078_1_trimmed.fq.gz.sam_counts.txt	SRR5004096_1_trimmed.fq.gz.sam_counts.txt	SRR5004097_1_trimmed.fq.gz.sam_counts.txt	SRR5004095_1_trimmed.fq.gz.sam_counts.txt	SRR5004083_1_trimmed.fq.gz.sam_counts.txt	SRR5004090_1_trimmed.fq.gz.sam_counts.txt	SRR5004094_1_trimmed.fq.gz.sam_counts.txt
contig#15031	17	6	9	9	13	5	11	4	5	5	8	10
contig#15032	13	43	45	24	59	14	39	19	27	5	15	44
contig#15033	10	31	18	13	18	18	10	18	15	3	5	16
contig#15034	11	162	141	26	123	8	10	48	3	0	6	67
contig#15035	15	380	94	24	157	58	51	156	89	11	20	390
contig#15036	55	367	156	70	360	68	75	237	62	19	32	281
contig#15037	3	29	27	16	33	13	3	24	11	1	2	25
contig#15038	122	226	127	201	276	96	171	181	77	59	102	207
contig#15039	8	33	15	3	22	2	6	20	1	1	8	15
contig#1504	680	5814	3809	798	3884	870	596	2271	653	123	423	5066
contig#15040	4	7	6	1	8	4	2	2	0	0	0	7
contig#15041	9	40	26	12	28	8	9	22	10	3	6	35
contig#15042	3	6	5	10	5	0	1	9	3	3	2	4
contig#15043	87	270	144	121	237	76	106	152	79	20	65	187
contig#15044	140	218	129	188	342	79	169	188	123	40	122	190
contig#15045	1	7	8	4	5	0	5	3	6	1	0	5
contig#15046	40	152	83	76	165	49	43	109	47	12	37	94
contig#15047	5	49	39	7	49	7	12	45	10	1	7	112
contig#15048	1	2	25	4	0	1	2	1	5	4	12	22
contig#15049	21	35	24	34	54	14	35	24	10	7	5	18
contig#1505	38	1171	215	25	917	340	95	587	464	100	26	851
contig#15050	225	607	283	279	579	146	246	354	141	60	139	413
contig#15051	21	65	67	35	67	9	17	56	16	4	4	37
contig#15052	3	22	11	4	24	1	4	29	4	0	2	21
contig#15053	18	165	38	18	142	15	12	99	12	0	12	96
contig#15054	22	223	90	24	273	86	72	134	63	20	36	195
contig#15055	39	130	128	210	174	27	137	48	18	1	148	88
contig#15056	23	163	109	48	224	38	60	176	33	25	24	220
contig#15057	139	228	178	185	228	49	170	122	90	46	62	133
contig#15058	118	294	235	145	381	61	127	316	129	35	93	257
contig#15059	8	45	25	16	58	4	20	53	6	0	2	39
contig#1506	474	8228	1843	570	8880	1547	1864	5965	2226	967	511	5492
contig#15060	193	331	179	324	254	171	210	172	100	52	134	209
contig#15061	2	71	30	12	57	8	10	62	9	0	2	74
contig#15062	23	209	86	39	158	25	21	133	26	2	22	138
contig#15063	1	14	10	3	5	0	0	11	1	0	0	11
contig#15064	8	56	48	2	45	4	5	25	7	0	3	55
contig#15065	1	10	28	6	15	2	3	3	0	0	0	9
contig#15067	7	29	37	10	42	3	7	50	13	1	0	45
contig#15068	54	205	126	172	134	3	12	53	1	0	2	125
contig#15069	19	213	110	30	199	18	23	177	32	7	20	198
contig#1507	158	11422	1618	108	7547	657	198	3907	1137	109	19	7242
contig#15070	10	7	7	19	7	3	17	13	13	5	11	2
contig#15071	147	193	107	158	198	80	171	123	90	52	101	130
contig#15073	66	392	99	54	332	56	60	170	71	7	18	196
contig#15074	16	36	30	19	48	10	28	33	19	1	12	51
contig#15075	227	364	194	181	354	121	172	221	160	35	155	267
contig#15076	16	243	70	14	141	29	15	96	9	0	6	120
contig#15077	3	9	10	1	8	0	1	9	1	0	1	3
contig#15078	196	260	126	191	254	157	122	202	234	29	145	235
contig#15079	1	80	16	3	55	2	4	49	3	1	0	73
contig#1508	46	383	262	104	377	31	79	502	58	20	31	457
contig#15080	29	119	95	36	113	23	36	81	26	6	28	99
contig#15081	131	628	489	107	243	886	135	227	429	28	91	1044
contig#15083	18	134	60	37	135	34	19	99	29	8	20	91
contig#15084	76	158	113	119	304	74	146	282	44	38	97	146
contig#15085	34	900	196	40	374	82	44	229	103	10	14	835
contig#15086	37	23	21	28	24	23	27	25	20	7	7	15
contig#15087	56	170	80	63	173	44	65	141	43	20	46	118
contig#15088	234	1227	581	334	1198	234	263	958	334	63	118	1065
contig#15089	26	45	31	56	65	15	30	21	21	7	27	20
contig#1509	115	633	89	158	552	1044	837	470	733	332	50	730
contig#15090	31	44	26	18	83	26	31	48	22	6	22	24
contig#15091	32	372	170	31	413	16	22	305	23	3	21	303
