Contig	./SAMs/SRR5004095_trimmed_counts.txt	./SAMs/SRR5004082_trimmed_counts.txt	./SAMs/SRR5004080_trimmed_counts.txt	./SAMs/SRR5004093_trimmed_counts.txt	./SAMs/SRR5004085_trimmed_counts.txt	./SAMs/SRR5004091_trimmed_counts.txt	./SAMs/SRR5004083_trimmed_counts.txt	./SAMs/SRR5004097_trimmed_counts.txt	./SAMs/SRR5004090_trimmed_counts.txt	./SAMs/SRR5004096_trimmed_counts.txt	./SAMs/SRR5004094_trimmed_counts.txt	./SAMs/SRR5004078_trimmed_counts.txt
contig#10169	37	32	130	224	48	244	25	209	39	63	222	32
contig#1017	31	86	460	450	86	449	2	275	59	52	673	29
contig#10170	19	24	153	315	19	224	1	274	16	26	265	25
contig#10171	15	19	36	97	23	84	6	59	8	16	68	17
contig#10172	57	54	70	88	54	72	28	72	47	81	121	92
contig#10173	10	22	16	25	10	33	16	11	22	15	20	8
contig#10174	11	4	33	20	17	28	3	10	5	6	15	10
contig#10175	4	11	38	68	16	41	1	35	11	9	36	6
contig#10176	20	46	39	66	68	64	16	43	23	86	46	40
contig#10177	25	39	13	25	42	44	13	20	15	39	34	22
contig#10178	61	26	97	101	10	145	5	54	12	6	89	32
contig#10179	2	1	8	15	1	22	0	12	2	2	10	2
contig#1018	899	392	866	4203	542	3191	237	1557	185	676	2300	863
contig#10180	42	45	96	290	50	226	25	199	23	35	212	33
contig#10181	8	9	19	24	62	70	1	46	0	37	19	30
contig#10182	1	8	25	24	3	14	0	12	9	0	27	2
contig#10183	65	109	383	920	69	453	25	425	74	99	566	97
contig#10184	12	27	61	98	32	92	6	61	22	30	166	13
contig#10185	45	47	58	154	60	143	12	134	30	38	93	45
contig#10186	28	6	46	221	3	225	10	133	4	18	121	32
contig#10187	36	47	174	334	61	335	9	258	44	68	279	32
contig#10188	31	40	25	35	32	32	19	30	22	53	22	18
contig#10189	259	313	725	1156	300	1139	46	893	230	299	987	173
contig#1019	33	62	248	465	110	402	16	272	26	71	370	45
contig#10190	154	212	63	70	182	73	66	44	96	216	44	108
contig#10191	77	133	187	370	127	334	38	292	83	111	280	61
contig#10192	13	2	28	17	3	55	0	9	5	0	23	11
contig#10193	151	173	496	724	182	793	49	566	117	217	680	136
contig#10194	59	54	72	110	92	145	26	85	59	141	71	42
contig#10195	11	1	110	125	18	57	0	157	9	2	169	15
contig#10196	532	676	819	1307	615	1371	141	839	263	815	931	534
contig#10197	93	126	352	736	168	698	14	435	105	109	498	122
contig#10198	100	105	344	736	128	622	21	494	80	130	620	91
contig#10199	1	1	7	12	2	5	0	12	2	1	5	0
contig#102	18	20	42	18	17	46	1	28	2	11	24	8
contig#1020	12	1	194	29	3	89	0	70	11	9	111	6
contig#10200	23	42	94	121	49	116	16	98	13	51	96	25
contig#10201	43	142	94	186	189	158	62	59	71	170	70	71
contig#10202	71	29	36	97	26	27	5	24	10	32	73	45
contig#10203	125	193	220	390	250	469	93	378	148	262	319	122
contig#10204	10	1	14	14	1	14	4	13	5	3	11	12
contig#10205	137	260	257	228	480	239	91	245	205	606	266	143
contig#10206	39	65	164	201	106	200	23	166	58	92	178	41
contig#10207	10	12	86	102	24	107	1	54	19	17	75	13
contig#10209	73	130	181	289	134	351	62	322	103	160	273	86
contig#1021	975	390	805	3202	508	3769	381	2250	266	654	2052	1113
contig#10210	193	153	558	783	287	977	56	812	120	302	788	169
contig#10211	149	157	213	453	179	508	44	371	102	158	379	129
contig#10212	11	20	31	13	16	20	11	13	7	7	8	11
contig#10213	79	113	404	880	104	685	28	430	52	65	679	100
contig#10214	13	34	39	41	18	23	8	27	24	21	37	26
