"logFC"	"logCPM"	"F"	"PValue"
"contig#10079"	-0.636604904604872	1.76156769720748	3.8906521474126	0.0694383971832487
"contig#1008"	0.140881077586488	7.96452959354879	0.427276124495834	0.524328550608615
"contig#10080"	-0.0121901813426531	5.0901744620644	0.000313292140907161	0.98614049521205
"contig#10081"	0.266257414477466	3.37977108530985	0.130640861048015	0.72343663212013
"contig#10082"	0.039886086538219	4.621421169792	0.0465442294310561	0.832421436796113
"contig#10083"	-0.379993565353266	3.41121054098654	1.29257680755838	0.275611636872045
"contig#10085"	0.15146651090673	2.60201496743537	0.623983362478621	0.443252276946051
"contig#10086"	-0.20191605497758	0.760030181145914	0.173277388230133	0.683843973810239
"contig#10087"	0.0845089794485265	1.8951612204008	0.102600981309819	0.753644049299273
"contig#10088"	0.0215427121537726	-0.362630785189183	0.00219273645179495	0.963346119089292
"contig#10089"	-0.465432727761706	4.23560734207466	5.2397984584344	0.0388018457231253
"contig#1009"	-0.454712300185578	0.486032845872795	0.320398734326709	0.580778730155899
"contig#10090"	-0.0463189526750455	3.82903667150424	0.0281907677791732	0.869174823169399
"contig#10091"	0.0405708343778568	1.06895656703362	0.00601513010475577	0.939333066198121
"contig#10092"	0.259065265451219	0.282877618190831	0.565275987089797	0.465074608047567
"contig#10093"	-0.037500009097166	5.21711215317374	0.0226981194160314	0.882485736906214
"contig#10094"	0.0579640225577015	4.40031971465168	0.00463516848669333	0.946731609978775
"contig#10095"	0.132956219823975	3.06534280876749	0.286586980483661	0.60114128147607
"contig#10096"	0.379938880059353	2.68251048384716	0.664633660287179	0.429264325866275
"contig#10097"	-0.180201910425213	-0.0928098808624433	0.201199918882847	0.660898698695253
"contig#10098"	0.412276376054369	1.82466820541038	0.896476993085904	0.36058763678744
"contig#10099"	-0.199250299800444	2.66283241704785	0.176659812685306	0.680960333909001
"contig#101"	-0.407608748934081	0.755362477898838	1.95468878386714	0.184674883343866
"contig#1010"	0.0134443476162163	6.63222347149521	0.00631079226196221	0.937850110194385
"contig#10100"	-0.0339070259345042	0.781637087036793	0.0145411406477863	0.907559882231937
"contig#10101"	0.789567362533239	9.37011760003371	0.682750208715013	0.423194113648381
"contig#10102"	0.0741532475414865	5.20928197701945	0.065073323881685	0.802545987990588
"contig#10103"	0.0871319475073425	0.620684589269225	0.0161374825221851	0.900811485545162
"contig#10104"	0.122806621592576	2.2945233685859	0.043680889277725	0.837610501591092
"contig#10106"	-0.0935820255756647	1.50864855004988	0.0340015760264129	0.85648098361117
"contig#10107"	0.477250819799004	0.826235213253824	0.353276557676497	0.562223353977076
"contig#10108"	0.27493377524368	3.19539054423285	2.23637507392524	0.157848431905297
"contig#10109"	-1.80357289042344	4.25917325530814	17.2952329289082	0.00106777209487626
"contig#1011"	0.186612272886807	3.09191370610768	0.146089974230915	0.708328526581029
"contig#10112"	-0.456093933467098	0.566532575586769	0.980242587600573	0.339782337515791
"contig#10113"	0.511787482620502	1.28607867197904	0.496599834195675	0.493135104124414
"contig#10114"	-0.0691721691670699	0.323191714907075	0.0168138490089368	0.898766419890696
"contig#10115"	-1.81762261956127	2.46536435758154	12.4627768614121	0.0035680273844648
"contig#10116"	1.43368284199418	1.92144023032084	6.02044020671813	0.0286176115479408
"contig#10117"	-0.386086122668798	1.11771930448495	1.3922658976745	0.258437669732734
"contig#10118"	-1.59528739104466	4.63433596645626	21.5452927801762	0.000433120041455314
"contig#10119"	-0.204223263954057	1.19849483668598	0.305936083493128	0.589271495182856
"contig#1012"	0.496133691209548	1.35411920475048	2.56077447685474	0.132723462468626
"contig#10120"	1.06695653475974	3.94836122925704	2.60540067506689	0.12992788269695
"contig#10121"	0.168479329770316	0.793060355561175	0.252682230642595	0.623308879083353
"contig#10122"	0.140176448468197	2.09730870804948	0.260931403844695	0.617748008831414
"contig#10123"	-0.635390426940128	2.63234619744456	4.51770754008094	0.0525979703430153
"contig#10124"	-0.0240011337507318	5.32509082084159	0.0152263835553121	0.903615993934437
"contig#10125"	-0.325358605856273	3.0325976796391	0.277890969675062	0.606754896910738
"contig#10126"	0.805098084024727	1.87411240498263	1.17773101408528	0.297067746128932
"contig#10127"	-0.0699966111348332	1.55972160073918	0.0236933209756217	0.879975281006326
"contig#10128"	0.16938854680948	4.36194765340341	0.874401222365587	0.366198027546709
"contig#10129"	0.863180685168352	13.6437594979655	0.612452692659363	0.447554813455382
"contig#1013"	-0.492622437418632	5.98283746730305	1.5951955531646	0.228245101198904
"contig#10130"	0.227077017478262	3.37845046074581	0.124084713701097	0.730156224173587
"contig#10131"	0.142605359147532	3.60079013603126	0.129822944036734	0.724264314609194
"contig#10132"	0.174343082332446	2.66258804121046	0.113322196480445	0.74163730916419
"contig#10133"	-0.50575409228191	2.88477207516851	3.15232905588356	0.0984070373345631
"contig#10134"	0.0934344518896155	0.787977001130908	0.0636369159346606	0.804644916558019
"contig#10136"	0.0160975747408227	3.77967115001623	0.0014679721573086	0.970005471849507
