	logFC	AveExpr	t	P.Value	adj.P.Val	B
contig#29668	1.642560137	1.51668	4.030204999	0.001268287	0.309917556	-0.762063112
contig#28354	1.994550588	1.761259139	4.025524854	0.001279893	0.309917556	-0.764173708
contig#50277	1.819239107	-0.147014002	4.134484897	0.001035807	0.299694558	-0.764387392
contig#25319	-1.154388147	1.99055837	-4.005622306	0.001330471	0.309917556	-0.790900958
contig#1923	1.590120223	5.295488146	4.027062823	0.001276067	0.309917556	-0.800674269
contig#26220	2.442283103	-0.5742847	4.177916098	0.000952303	0.296805212	-0.816447297
contig#26739	3.865995236	0.244824885	4.110464115	0.001085174	0.304099721	-0.816825295
contig#15731	1.811576531	2.226789488	3.98374032	0.00138844	0.313025814	-0.827808478
contig#47931	2.360380546	-0.017729509	4.07584088	0.001160603	0.304290919	-0.828593736
contig#23645	2.278642597	2.609489617	3.980530435	0.001397157	0.313025814	-0.832633269
contig#14350	3.936922518	0.3426966	4.090221111	0.001128644	0.304099721	-0.833477347
contig#24446	3.761940411	1.483494264	3.997847385	0.00135078	0.311152086	-0.843886327
contig#7465	-1.54117502	0.045322333	-4.049442801	0.0012217	0.308874016	-0.844211449
contig#37729	2.904882343	0.847979111	4.012427821	0.001312951	0.309917556	-0.844245309
contig#24688	4.412973958	1.259487938	4.015668768	0.00130469	0.309917556	-0.850057065
contig#35847	3.024663313	-0.907367645	4.25382904	0.000822533	0.294972861	-0.852288266
contig#20646	-1.597084713	1.960664984	-3.968451316	0.001430466	0.313025814	-0.85567435
contig#33178	1.783567005	2.895667135	3.966004973	0.00143731	0.313025814	-0.860761784
contig#13953	1.833724945	2.659262817	3.964350226	0.001441959	0.313025814	-0.861586983
contig#53744	3.079818296	-0.041400973	4.083062602	0.001144439	0.304290919	-0.865374054
contig#24990	1.890919291	2.266558922	3.955190819	0.001467967	0.317012052	-0.876833178
contig#44395	3.222308446	-1.935066902	4.512210903	0.000501753	0.269752158	-0.88775493
contig#34735	3.375095688	-0.648848987	4.197485283	0.000916963	0.296805212	-0.891431119
contig#6060	2.228595816	2.326520762	3.946323512	0.001493602	0.31721796	-0.892246713
contig#19288	-2.646466202	0.1519736	-4.008346552	0.001323429	0.309917556	-0.91850551
contig#32225	3.372808444	0.434592083	4.005655009	0.001330386	0.309917556	-0.927050633
contig#34141	2.872534479	1.100700699	3.943668127	0.001501367	0.31721796	-0.93911674
contig#20181	3.596758597	0.556305446	3.97439785	0.001413968	0.313025814	-0.939882519
contig#20574	1.909694774	3.538354021	3.927193992	0.001550469	0.31721796	-0.940114522
contig#38755	2.5650256	0.824774395	3.932428615	0.001534692	0.31721796	-0.965138778
contig#26045	1.517251732	2.555491649	3.901636139	0.001629908	0.31721796	-0.970899965
contig#16819	1.916801732	2.321353627	3.900378523	0.001633922	0.31721796	-0.971818108
contig#51305	3.950718369	3.930206614	3.901124707	0.001631539	0.31721796	-0.982532922
contig#46744	1.223501996	1.28527723	3.901749079	0.001629548	0.31721796	-0.983047149
contig#8878	3.747914705	1.980519329	3.898674113	0.001639378	0.31721796	-0.985695862
contig#52288	3.537889996	-0.020826595	4.013706572	0.001309685	0.309917556	-0.98671344
contig#34637	3.494269177	0.361820807	3.964983942	0.001440177	0.313025814	-0.990199591
contig#26904	2.695703682	4.080381303	3.901151295	0.001631454	0.31721796	-0.99463047
contig#52716	-2.719815992	-1.376444689	-4.22360073	0.000871885	0.296805212	-0.99560835
contig#49862	3.144949451	-0.288640276	4.017144537	0.001300946	0.309917556	-1.000036005
contig#17923	3.448724236	2.301062154	3.884632016	0.001685045	0.31721796	-1.001250414
contig#36585	1.008163751	3.200476943	3.885671528	0.00168162	0.31721796	-1.009854998
