"logFC"	"logCPM"	"PValue"
"contig#10231"	-0.128890433608582	0.700456551850624	0.637116025066343
"contig#10232"	-0.297477362522302	2.06269615940376	0.437447694655596
"contig#10233"	-0.0211243062068792	1.31210205303227	0.915175258789543
"contig#10235"	-0.393478854072327	1.33460937206862	0.22787765396787
"contig#10236"	-0.371381729926827	3.69217048631092	0.166943866589801
"contig#10238"	-0.100278266994519	1.44628725545079	0.913237137930513
"contig#1024"	0.122345715602495	3.56094089463606	0.759141906083329
"contig#10241"	-0.537259812926956	3.91092979050793	0.199823913037499
"contig#10242"	-0.455147443054108	2.51446150131309	0.473701621084576
"contig#10243"	0.293383579173528	4.39775480389557	0.227920673663898
"contig#10244"	0.629429854069376	1.93737209066598	0.069388597902993
"contig#10245"	0.271325547137007	3.40641674259007	0.689884401201667
"contig#10246"	0.166845258503873	2.37339809018392	0.554683656742999
"contig#10247"	-0.019880456586344	2.99092601722748	0.964223162958657
"contig#10248"	-0.223877270014701	1.04366269276163	0.860672637052645
"contig#10249"	0.251078127860123	1.39696656291948	0.575387404736732
"contig#1025"	-0.0731820527322538	5.73498737462482	0.815021170816923
"contig#10250"	-0.418992247909427	2.76534405519316	0.609563915680821
"contig#10251"	0.167877993607824	3.11254135914955	0.541501854196998
"contig#10252"	0.45310505563082	3.48778020846249	0.116686086897408
"contig#10253"	0.000271617639848442	3.81298431112568	0.982956551098879
"contig#10254"	-0.0821719629766795	2.13001634879751	0.893703609734844
"contig#10255"	-0.458809000645704	0.191282467263884	0.68254154730793
"contig#10256"	0.475940250775859	0.171283541201012	0.432460794890279
"contig#10257"	-0.0235267586695872	3.24434621310664	0.943372712362256
"contig#10258"	0.15772821736848	-0.187717015167868	0.818271137885517
"contig#10259"	0.265464515564122	-0.637425177013976	0.625557779586097
"contig#1026"	0.286810320226437	6.3846528316055	0.35524756274142
"contig#10260"	0.0798093359124184	0.202963449050734	0.901822714839043
"contig#10261"	0.289970166188847	3.22952559838131	0.596577384938371
"contig#10262"	-0.614058501447621	2.70053361808943	0.430079788299245
"contig#10263"	0.378539958144593	-0.458054928512081	0.406902645857521
"contig#10264"	-0.241936199909579	2.58741754637661	0.526734747630201
"contig#10265"	-0.146287263543787	2.32656343428062	0.69359632393408
"contig#10266"	0.403185568983841	3.40179136546445	0.481678623750799
"contig#10267"	0.112990087325535	4.45636738337896	0.729815715477306
"contig#10268"	-0.159294182858347	3.81770656459959	0.697481562738861
"contig#10269"	0.456787796383643	1.188022107246	0.445821649926583
"contig#1027"	0.14977961231083	3.81720281385233	0.579002801762815
"contig#10270"	0.032918792583287	3.29809033109028	0.912750085484956
"contig#10271"	-0.174639729227125	2.80512005577748	0.889919923447245
"contig#10272"	0.0191717660479626	4.28018196240955	0.94848207280321
"contig#10273"	-0.508777673259658	5.09021415210228	0.0272032391948619
"contig#10274"	0.189089723281521	4.93642852626038	0.424275671602935
"contig#10275"	0.0407928242688107	1.87297763682456	0.958129615086379
"contig#10276"	-0.491670347475997	1.53043237328795	0.261303645245922
"contig#10277"	0.101134584346936	3.88762185724904	0.812573868415133
"contig#10279"	-0.651538378885391	2.68877012691913	0.283810136366456
"contig#1028"	0.482357387469192	6.67813064060925	0.310557854978358
"contig#10280"	-0.18704226771965	3.72956061284552	0.66275184870841
"contig#10281"	0.285120121663492	5.26600783700871	0.251308691616487
"contig#10282"	0.216051833980102	2.61257758112764	0.629095133350047
"contig#10284"	0.495203345648344	0.444064894805492	0.42903296306688
"contig#10285"	-1.25923106746532	3.69472028064215	0.0509454745602179
"contig#10286"	0.736681903253507	10.229378576044	0.420173859652031
"contig#10287"	-0.214069912706383	2.23048410147751	0.647600071180809
"contig#10288"	0.143047893077903	2.77794947508449	0.774640619731018
"contig#10289"	0.298036665551699	3.03054855161136	0.544991546303458
"contig#1029"	0.247304859220241	2.47225660370147	0.42359171112986
"contig#10290"	0.720015456792663	0.0381369279436231	0.0458936416518063
"contig#10292"	0.0974669641696456	3.17541121452256	0.778798900329963
"contig#10293"	0.0172982675107211	4.3102794794071	0.982193140872386
"contig#10294"	-0.0408375581816405	4.41840543210096	0.919856148342762
"contig#10295"	1.57885391035437	3.27717222867926	0.0106515891025257
"contig#10296"	0.875732723048257	4.88027341073691	0.250299742163409
"contig#10297"	0.0316813609352168	-0.109888695973301	0.999999999999995
"contig#10298"	0.176326344505542	0.765455414195961	0.650739193917295
"contig#103"	0.83097611298626	11.5388580057886	0.387441634001989
